"MAPUNIT,C,68","PROVINCE,C,2","MU_GROUP,C,4","SN_GROUP,C,6"
PEPED103Chd/DF,PE,PE75,1
PEPED103Chd/E,PE,PE75,1
PEPED103Chd/ED,PE,PE75,1
PEPED103Chd/EF,PE,PE75,1
PEPED103Chd/FE,PE,PE75,1
PEPED103Chd:4-Ald:4/C,PE,PE75,1
PEPED103Chd:5-Ald:4/ED,PE,PE75,1
PEPED103Chd:5-Ald:4/FE,PE,PE75,1
PEPED103Chd:5-Ald:5/C,PE,PE75,1
PEPED103Chd:6-Ald:2/FD,PE,PE75,1
PEPED103Chd:6-Ald:3/DC,PE,PE75,1
PEPED103Chd:6-Ald:3/E,PE,PE75,1
PEPED103Chd:6-Ald:3/ED,PE,PE75,1
PEPED103Chd:6-Ald:3/EF,PE,PE75,1
PEPED103Chd:6-Ald:3/F,PE,PE75,1
PEPED103Chd:6-Em:3/C,PE,PE75,1
PEPED103Chd:6-Ol:3/DC,PE,PE75,1
PEPED103Chd:6-Ti:1/C,PE,PE75,1
PEPED103Chd:6-Ti:1/CD,PE,PE75,1
PEPED103Chd:7-Ald:2/DC,PE,PE75,1
PEPED103Chd:7-Ald:2/ED,PE,PE75,1
PEPED103Chd:7-Ald:2/EF,PE,PE75,1
PEPED103Chd:7-Ald:3/DC,PE,PE75,1
PEPED103Chd:7-Ti:1-Ma:1/CD,PE,PE75,1
PEPED103Chd:7-Ti:2/C,PE,PE75,1
PEPED103Chd:7-Ti:3/C,PE,PE75,1
PEPED103Chd:8-Ald:1/D,PE,PE75,1
PEPED103Chd:8-Ald:1/DC,PE,PE75,1
PEPED103Chd:8-Ald:2/FD,PE,PE75,1
PEPED103Chd:8-Ti:1/C,PE,PE75,1
PEPED103Chd:8-Wn:1/C,PE,PE75,1
PEPED103Cp:3-Rp:3-Ki:2(dp/B,PE,PE75,1
PEPED103Cp:5-Ki:2(dp/B,PE,PE75,1
PEPED103Cr(dp/C,PE,PE75,1
PEPED103Cr:3-Ui:2-Wn:2(dp/BC,PE,PE75,1
PEPED103Cr:4-Sm:3(dp/CB,PE,PE75,1
PEPED103Cr:4-Sm:3-Rp:3(dp/CB,PE,PE75,1
PEPED103Cr:4-Wn:3(dp/C,PE,PE75,1
PEPED103Cr:4-Wn:4-Al:1(dp/BC,PE,PE75,1
PEPED103Cr:5-Ui:3(dp/C,PE,PE75,1
PEPED103Cr:5-Ui:4(dp/C,PE,PE75,1
PEPED103Cr:5-Ui:4/C,PE,PE75,1
PEPED103Cr:6-Wn:2-Sc:1(dp/C,PE,PE75,1
PEPED103Cr:6-Wn:3(dp/C,PE,PE75,1
PEPED103Cr:8-Al:1(dp/B,PE,PE75,1
PEPED103Cr:8-Al:1(dp/C,PE,PE75,1
PEPED103Cu/C,PE,PE75,1
PEPED103Cu/CD,PE,PE75,1
PEPED103Cu/CE,PE,PE75,1
PEPED103Cu/D,PE,PE75,1
PEPED103Cu/DC,PE,PE75,1
PEPED103Cu/EC,PE,PE75,1
PEPED103Cu/ED,PE,PE75,1
PEPED103Cu:3-Al:2-Cr:2/C,PE,PE75,1
PEPED103Cu:3-Wn:2-Or:2(dp/CB,PE,PE75,1
PEPED103Cu:4-Al:2-Or:2/C,PE,PE75,1
PEPED103Cu:4-Al:3-Rp:1/DB,PE,PE75,1
PEPED103Cu:4-Al:4-Rp:2/C,PE,PE75,1
PEPED103Cu:4-Al:4/C,PE,PE75,1
PEPED103Cu:4-Or:4-Ui:1(dp/CB,PE,PE75,1
PEPED103Cu:4-Ui:3-Sc:2(dp/CD,1E,PE75,1
PEPED103Cu:5-Al:4/C,PE,PE75,1
PEPED103Cu:5-Al:4/EC,PE,PE75,1
PEPED103Cu:5-Ne:1-Sm:1/C,PE,PE75,1
PEPED103Cu:5-Or:2-Go:1/C,PE,PE75,1
PEPED103Cu:5-Or:2-Ui:1(dp/C,PE,PE75,1
PEPED103Cu:5-Or:2-Ui:1/C,PE,PE75,1
PEPED103Cu:5-Or:3-Ui:2(dp/C,PE,PE75,1
PEPED103Cu:5-Sc:1/C,PE,PE75,1
PEPED103Cu:5-Ui:1-Or:1/C,PE,PE75,1
PEPED103Cu:5-Wn:2-Ui:1/CB,PE,PE75,1
PEPED103Cu:5-Wn:4/C,PE,PE75,1
PEPED103Cu:6-Al:2/DC,PE,PE75,1
PEPED103Cu:6-Al:3/ED,PE,PE75,1
PEPED103Cu:6-Ch:3/C,PE,PE75,1
PEPED103Cu:6-Df:2/DC,PE,PE75,1
PEPED103Cu:6-Go:1/C,PE,PE75,1
PEPED103Cu:6-Go:2-Rp:1/C,PE,PE75,1
PEPED103Cu:6-Go:3/CD,PE,PE75,1
PEPED103Cu:6-Or:2/C,PE,PE75,1
PEPED103Cu:6-Or:3/C,PE,PE75,1
PEPED103Cu:6-Ui:1/CD,PE,PE75,1
PEPED103Cu:7-Al:2/ED,PE,PE75,1
PEPED103Cu:7-Br:1(dp/CD,PE,PE75,1
PEPED103Cu:7-Df:2/CD,PE,PE75,1
PEPED103Cu:7-Go:1/CD,PE,PE75,1
PEPED103Cu:7-Go:2/C,PE,PE75,1
PEPED103Cu:7-Rp:1/DB,PE,PE75,1
PEPED103Cu:7-Sc:1-Ui:1/C,PE,PE75,1
PEPED103Cu:7-Sc:1/C,PE,PE75,1
PEPED103Cu:7-Ui:1,PE,PE75,1
PEPED103Cu:7-Ui:1-Sc:1/C,PE,PE75,1
PEPED103Cu:7-Ui:1/CB,PE,PE75,1
PEPED103Cu:7-Ui:2/EC,PE,PE75,1
PEPED103Cu:8-Al:1-Pb:1/ED,PE,PE75,1
PEPED103Cu:8-Al:1/C,PE,PE75,1
PEPED103Cu:8-Al:1/ED,PE,PE75,1
PEPED103Cu:8-Al:2/CD,PE,PE75,1
PEPED103Cu:8-Go:1/C,PE,PE75,1
PEPED103Cu:8-Or:1/CD,PE,PE75,1
PEPED103Cu:8-Sc:1/C,PE,PE75,1
PEPED103Cu:8-Sc:1/CD,PE,PE75,1
PEPED103Cu:8-Sc:1/CE,PE,PE75,1
PEPED103Cu:8-Sc:1/DC,PE,PE75,1
PEPED103Cu:8-Sc:1/EC,PE,PE75,1
PEPED103Cu:8-Sm:1/C,PE,PE75,1
PEPED103Cu:8-Ui:1/C,PE,PE75,1
PEPED103Cu:8-Ui:1/CD,PE,PE75,1
PEPED103Cu:8-Ui:1/DE,PE,PE75,1
PEPED103Cud/C,PE,PE75,1
PEPED103Cud/CD,PE,PE75,1
PEPED103Cud/EC,PE,PE75,1
PEPED103Cud/ED,PE,PE75,1
PEPED103Cud:8-Ald:2/CD,PE,PE75,1
PEPED103Db:3-Ki:2-Ha:1/BD,PE,PE75,1
PEPED103Db:4-Du:4-Ol:2/BC,PE,PE75,1
PEPED103Db:4-Ki:4(dp/C,PE,PE75,1
PEPED103Db:4-Wp:4-Rp:1(dp/CB,PE,PE75,1
PEPED103Db:5-Wp:4/CB,PE,PE75,1
PEPED103Df/E,PE,PE75,1
PEPED103Df:4-Sm:4/EB,PE,PE75,1
PEPED103Df:5-Cu:3/CD,PE,PE75,1
PEPED103Df:5-Cu:4-Sc:1(dp/CE,PE,PE75,1
PEPED103Df:5-Cu:4/C,PE,PE75,1
PEPED103Df:5-Cu:4/DC,PE,PE75,1
PEPED103Df:6-Cu:4/C,PE,PE75,1
PEPED103Ds,PE,PE75,1
PEPED103Ds:4-Cb:3-Sm:2,PE,PE75,1
